amount,contribution-funding-status,developer-agreement-contribution,developer-agreement-transaction,end-date,entry-date,organisation,start-date,units,slug
53247.79,secured,19/00595/FULM-OS,19/00585/FULM-OS-1,,2020-12-16,local-authority-eng:NEA,2019-06-20,,/developer-agreement-transaction/local-authority-eng/NEA/19-00585-FULM-OS-1
176459.8,secured,19/00595/FULM-AH,19/00595/FULM-AH-1,,2020-12-16,local-authority-eng:NEA,2019-06-20,,/developer-agreement-transaction/local-authority-eng/NEA/19-00595-FULM-AH-1
62121.86,secured,19/00595/FULM-CF,19/00595/FULM-CF-1,,2020-12-16,local-authority-eng:NEA,2019-06-20,,/developer-agreement-transaction/local-authority-eng/NEA/19-00595-FULM-CF-1
49000,secured,19/01615/con,19/01615/RMA-dem,,2020-12-01,local-authority-eng:NEA,2020-03-13,,/developer-agreement-transaction/local-authority-eng/NEA/19-01615-RMA-dem
56251.84,received,OUT/980066-OS,OUT/980066-OS-2,,2020-12-16,local-authority-eng:NEA,2007-05-30,,/developer-agreement-transaction/local-authority-eng/NEA/OUT-980066-OS-2
6946.93,Allocated,05/00691/OM_2.11_LIB,05/00691/OM_LIBA,,2020-12-04,local-authority-eng:NFK,2019-09-24,,/developer-agreement-transaction/local-authority-eng/NFK/05-00691-OM-LIBA
6946.93,Received,05/00691/OM_2.11_LIB,05/00691/OM_LIBR,,2020-12-04,local-authority-eng:NFK,2019-09-24,,/developer-agreement-transaction/local-authority-eng/NFK/05-00691-OM-LIBR
6946.93,Secured,05/00691/OM_2.11_LIB,05/00691/OM_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/05-00691-OM-LIBS
111339.93,Allocated,06/13/0643/F_6.66_ED,06/13/0643/F_EDA,,2020-12-04,local-authority-eng:NFK,2019-07-12,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-EDA
111339.93,Received,06/13/0643/F_6.66_ED,06/13/0643/F_EDR,,2020-12-04,local-authority-eng:NFK,2019-09-11,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-EDR
111339.93,Secured,06/13/0643/F_6.66_ED,06/13/0643/F_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-12,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-EDS
,Spent,06/13/0643/F_6.66_ED,06/13/0643/F_EDSP,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-EDSP
1680,Allocated,06/13/0643/F_6.66_LIB,06/13/0643/F_LIBA,,2020-12-04,local-authority-eng:NFK,2019-07-12,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-LIBA
1680,Received,06/13/0643/F_6.66_LIB,06/13/0643/F_LIBR,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-LIBR
1680,Secured,06/13/0643/F_6.66_LIB,06/13/0643/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0643-F-LIBS
1033288.56,Allocated,06/13/0652/O_6.32_ED,06/13/0652/O_EDA,,2020-12-04,local-authority-eng:NFK,2019-11-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-EDA
1033288.56,Received,06/13/0652/O_6.32_ED,06/13/0652/O_EDR,,2020-12-04,local-authority-eng:NFK,2019-11-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-EDR
1033288.56,Secured,06/13/0652/O_6.32_ED,06/13/0652/O_EDS,,2020-12-04,local-authority-eng:NFK,2019-09-19,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-EDS
,Spent,06/13/0652/O_6.32_ED,06/13/0652/O_EDSP,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-EDSP
25500,Allocated,06/13/0652/O_6.32_LIB,06/13/0652/O_LIBA,,2020-12-04,local-authority-eng:NFK,2019-11-06,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-LIBA
25500,Received,06/13/0652/O_6.32_LIB,06/13/0652/O_LIBR,,2020-12-04,local-authority-eng:NFK,2019-11-06,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-LIBR
25500,Secured,06/13/0652/O_6.32_LIB,06/13/0652/O_LIBS,,2020-12-04,local-authority-eng:NFK,2019-09-19,,/developer-agreement-transaction/local-authority-eng/NFK/06-13-0652-O-LIBS
189905.62,Allocated,06/15/0309/F_6.76_ED,06/15/0309/F_EDA,,2020-12-04,local-authority-eng:NFK,2019-09-02,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-EDA
189905.62,Received,06/15/0309/F_6.76_ED,06/15/0309/F_EDR,,2020-12-04,local-authority-eng:NFK,2019-09-02,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-EDR
189905.62,Secured,06/15/0309/F_6.76_ED,06/15/0309/F_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-EDS
15766.96,Allocated,06/15/0309/F_6.76_LIB,06/15/0309/F_LIBA,,2020-12-04,local-authority-eng:NFK,2019-07-16,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-LIBA
15766.96,Received,06/15/0309/F_6.76_LIB,06/15/0309/F_LIBR,,2020-12-04,local-authority-eng:NFK,2019-07-16,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-LIBR
15766.96,Secured,06/15/0309/F_6.76_LIB,06/15/0309/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0309-F-LIBS
8073.71,Allocated,06/15/0737/F_6.26_LIB,06/15/0737/F_LIBA,,2020-12-04,local-authority-eng:NFK,2019-09-05,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0737-F-LIBA
8073.71,Received,06/15/0737/F_6.26_LIB,06/15/0737/F_LIBR,,2020-12-04,local-authority-eng:NFK,2019-09-05,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0737-F-LIBR
8073.71,Secured,06/15/0737/F_6.26_LIB,06/15/0737/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0737-F-LIBS
,Spent,06/15/0737/F_6.26_LIB,06/15/0737/F_LIBSP,,2020-12-04,local-authority-eng:NFK,2020-03-01,,/developer-agreement-transaction/local-authority-eng/NFK/06-15-0737-F-LIBSP
600,Received,12/00703/O_4.37_MON,12/00703/O_MONR,,2020-12-04,local-authority-eng:NFK,2019-12-18,,/developer-agreement-transaction/local-authority-eng/NFK/12-00703-O-MONR
,Spent,12/00703/O_4.37_MON,12/00703/O_MONSP,,2020-12-04,local-authority-eng:NFK,2020-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/12-00703-O-MONSP
300,Allocated,13/00610/F_4.97_MON,13/00610/F_MONA,,2020-12-04,local-authority-eng:NFK,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NFK/13-00610-F-MONA
300,Received,13/00610/F_4.97_MON,13/00610/F_MONR,,2020-12-04,local-authority-eng:NFK,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NFK/13-00610-F-MONR
300,Secured,13/00610/F_4.97_MON,13/00610/F_MONS,,2020-12-04,local-authority-eng:NFK,2019-12-18,,/developer-agreement-transaction/local-authority-eng/NFK/13-00610-F-MONS
,Spent,13/00610/F_4.97_MON,13/00610/F_MONSP,,2020-12-04,local-authority-eng:NFK,2020-02-01,,/developer-agreement-transaction/local-authority-eng/NFK/13-00610-F-MONSP
266287.69,Allocated,14/01022_2.127_ED,14/01022_EDA,,2020-12-04,local-authority-eng:NFK,2020-02-18,,/developer-agreement-transaction/local-authority-eng/NFK/14-01022-EDA
266287.69,Received,14/01022_2.127_ED,14/01022_EDR,,2020-12-04,local-authority-eng:NFK,2020-02-18,,/developer-agreement-transaction/local-authority-eng/NFK/14-01022-EDR
266287.69,Secured,14/01022_2.127_ED,14/01022_EDS,,2020-12-04,local-authority-eng:NFK,2020-02-11,,/developer-agreement-transaction/local-authority-eng/NFK/14-01022-EDS
,Spent,14/01022_2.127_ED,14/01022_EDSP,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/14-01022-EDSP
67342.82,Allocated,14/0284_1.79b_ED,14/0284_EDA,,2020-12-04,local-authority-eng:NFK,2019-12-10,,/developer-agreement-transaction/local-authority-eng/NFK/14-0284-EDA
67342.82,Received,14/0284_1.79b_ED,14/0284_EDR,,2020-12-04,local-authority-eng:NFK,2019-12-10,,/developer-agreement-transaction/local-authority-eng/NFK/14-0284-EDR
67342.82,Secured,14/0284_1.79b_ED,14/0284_EDS,,2020-12-04,local-authority-eng:NFK,2019-11-26,,/developer-agreement-transaction/local-authority-eng/NFK/14-0284-EDS
,Spent,14/0284_1.79b_ED,14/0284_EDSP,,2020-12-04,local-authority-eng:NFK,2019-12-12,,/developer-agreement-transaction/local-authority-eng/NFK/14-0284-EDSP
497514.1,Allocated,14/1212_1.85_ED,14/1212_EDA,,2020-12-04,local-authority-eng:NFK,2020-03-17,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-EDA
497514.1,Received,14/1212_1.85_ED,14/1212_EDR,,2020-12-04,local-authority-eng:NFK,2020-03-17,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-EDR
497514.1,Secured,14/1212_1.85_ED,14/1212_EDS,,2020-12-04,local-authority-eng:NFK,2020-02-28,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-EDS
5667.05,Allocated,14/1212_1.85_LIB,14/1212_LIBA,,2020-12-04,local-authority-eng:NFK,2020-03-31,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-LIBA
5667.05,Received,14/1212_1.85_LIB,14/1212_LIBR,,2020-12-04,local-authority-eng:NFK,2020-03-31,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-LIBR
5667.05,Secured,14/1212_1.85_LIB,14/1212_LIBS,,2020-12-04,local-authority-eng:NFK,2019-10-10,,/developer-agreement-transaction/local-authority-eng/NFK/14-1212-LIBS
168651,Allocated,15/1010_1.100_ED,15/1010_EDA,,2020-12-04,local-authority-eng:NFK,2019-09-02,,/developer-agreement-transaction/local-authority-eng/NFK/15-1010-EDA
168651,Received,15/1010_1.100_ED,15/1010_EDR,,2020-12-04,local-authority-eng:NFK,2019-09-02,,/developer-agreement-transaction/local-authority-eng/NFK/15-1010-EDR
168651,Secured,15/1010_1.100_ED,15/1010_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/15-1010-EDS
,Spent,15/1010_1.100_ED,15/1010_EDSP,,2020-12-04,local-authority-eng:NFK,2019-09-03,,/developer-agreement-transaction/local-authority-eng/NFK/15-1010-EDSP
461171.44,Allocated,2007/0262_3.41_ED,2007/0262_EDA,,2020-12-04,local-authority-eng:NFK,2019-09-06,,/developer-agreement-transaction/local-authority-eng/NFK/2007-0262-EDA
461171.44,Received,2007/0262_3.41_ED,2007/0262_EDR,,2020-12-04,local-authority-eng:NFK,2019-09-06,,/developer-agreement-transaction/local-authority-eng/NFK/2007-0262-EDR
461171.44,Secured,2007/0262_3.41_ED,2007/0262_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-16,,/developer-agreement-transaction/local-authority-eng/NFK/2007-0262-EDS
2166681.48,Allocated,20080367_5.28_ED,20080367_EDA,,2020-12-04,local-authority-eng:NFK,2020-01-02,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-EDA
2166681.48,Received,20080367_5.28_ED,20080367_EDR,,2020-12-04,local-authority-eng:NFK,2020-01-02,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-EDR
2166681.48,Secured,20080367_5.28_ED,20080367_EDS,,2020-12-04,local-authority-eng:NFK,2019-10-01,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-EDS
,Spent,20080367_5.28_ED,20080367_EDSP,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-EDSP
1200,Allocated,20080367_5.28_MON,20080367_MONA,,2020-12-04,local-authority-eng:NFK,2020-03-01,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-MONA
1200,Received,20080367_5.28_MON,20080367_MONR,,2020-12-04,local-authority-eng:NFK,2020-03-01,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-MONR
,Spent,20080367_5.28_MON,20080367_MONSP,,2020-12-04,local-authority-eng:NFK,2020-03-01,,/developer-agreement-transaction/local-authority-eng/NFK/20080367-MONSP
7638,Allocated,2010/2225_7.76_ED,2010/2225_EDA,,2020-12-04,local-authority-eng:NFK,2019-11-29,,/developer-agreement-transaction/local-authority-eng/NFK/2010-2225-EDA
7638,Received,2010/2225_7.76_ED,2010/2225_EDR,,2020-12-04,local-authority-eng:NFK,2019-11-29,,/developer-agreement-transaction/local-authority-eng/NFK/2010-2225-EDR
7638,Secured,2010/2225_7.76_ED,2010/2225_EDS,,2020-12-04,local-authority-eng:NFK,2019-10-29,,/developer-agreement-transaction/local-authority-eng/NFK/2010-2225-EDS
5837.41,Allocated,2011/0505/O_7.85a_LIB,2011/0505/O_LIBA,,2020-12-04,local-authority-eng:NFK,2019-07-04,,/developer-agreement-transaction/local-authority-eng/NFK/2011-0505-O-LIBA
5837.41,Received,2011/0505/O_7.85a_LIB,2011/0505/O_LIBR,,2020-12-04,local-authority-eng:NFK,2019-04-29,,/developer-agreement-transaction/local-authority-eng/NFK/2011-0505-O-LIBR
366243.98,Allocated,2011/1284_7.88_ED,2011/1284_EDA,,2020-12-04,local-authority-eng:NFK,2019-09-02,,/developer-agreement-transaction/local-authority-eng/NFK/2011-1284-EDA
366243.98,Received,2011/1284_7.88_ED,2011/1284_EDR,,2020-12-04,local-authority-eng:NFK,2019-09-02,,/developer-agreement-transaction/local-authority-eng/NFK/2011-1284-EDR
366243.98,Secured,2011/1284_7.88_ED,2011/1284_EDS,,2020-12-04,local-authority-eng:NFK,2019-07-12,,/developer-agreement-transaction/local-authority-eng/NFK/2011-1284-EDS
353688.24,Allocated,2012/0371_7.85b_ED,2012/0371_EDA,,2020-12-04,local-authority-eng:NFK,2020-02-28,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0371-EDA
353688.24,Received,2012/0371_7.85b_ED,2012/0371_EDR,,2020-12-04,local-authority-eng:NFK,2020-02-28,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0371-EDR
353688.24,Secured,2012/0371_7.85b_ED,2012/0371_EDS,,2020-12-04,local-authority-eng:NFK,2020-01-31,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0371-EDS
,Spent,2012/0371_7.85b_ED,2012/0371_EDSP,,2020-12-04,local-authority-eng:NFK,2019-08-05,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0371-EDSP
600,Allocated,2012/0839_7.84_MON,2012/0839_MONA,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0839-MONA
600,Received,2012/0839_7.84_MON,2012/0839_MONR,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0839-MONR
,Spent,2012/0839_7.84_MON,2012/0839_MONSP,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/2012-0839-MONSP
3351.36,Allocated,2012/1604_5.68_LIB,2012/1604_5.68_LIBA,,2020-12-04,local-authority-eng:NFK,2019-11-01,,/developer-agreement-transaction/local-authority-eng/NFK/2012-1604-5-68-LIBA
3351.36,Received,2012/1604_5.68_LIB,2012/1604_5.68_LIBR,,2020-12-04,local-authority-eng:NFK,2019-11-01,,/developer-agreement-transaction/local-authority-eng/NFK/2012-1604-5-68-LIBR
3351.36,Secured,2012/1604_5.68_LIB,2012/1604_5.68_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/2012-1604-5-68-LIBS
91983,Allocated,2013/0265_2.114_ED,2013/0265_EDA,,2020-12-04,local-authority-eng:NFK,2020-02-04,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-EDA
91983,Received,2013/0265_2.114_ED,2013/0265_EDR,,2020-12-04,local-authority-eng:NFK,2020-02-04,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-EDR
91983,Secured,2013/0265_2.114_ED,2013/0265_EDS,,2020-12-04,local-authority-eng:NFK,2019-11-21,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-EDS
3862.7,Allocated,2013/0265_2.114_LIB,2013/0265_LIBA,,2020-12-04,local-authority-eng:NFK,2019-12-12,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-LIBA
3862.7,Received,2013/0265_2.114_LIB,2013/0265_LIBR,,2020-12-04,local-authority-eng:NFK,2019-12-12,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-LIBR
3862.7,Secured,2013/0265_2.114_LIB,2013/0265_LIBS,,2020-12-04,local-authority-eng:NFK,2019-08-05,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0265-LIBS
49218,Allocated,2013/0467_7.108_ED,2013/0467_EDA,,2020-12-04,local-authority-eng:NFK,2019-12-23,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-EDA
49218,Received,2013/0467_7.108_ED,2013/0467_EDR,,2020-12-04,local-authority-eng:NFK,2019-12-23,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-EDR
49218,Secured,2013/0467_7.108_ED,2013/0467_EDS,,2020-12-04,local-authority-eng:NFK,2019-12-03,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-EDS
,Spent,2013/0467_7.108_ED,2013/0467_EDSP,,2020-12-04,local-authority-eng:NFK,2019-12-30,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-EDSP
10339.11,Allocated,2013/0467_7.108_LIB,2013/0467_LIBA,,2020-12-04,local-authority-eng:NFK,2020-03-23,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-LIBA
10339.11,Received,2013/0467_7.108_LIB,2013/0467_LIBR,,2020-12-04,local-authority-eng:NFK,2020-03-23,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-LIBR
10339.11,Secured,2013/0467_7.108_LIB,2013/0467_LIBS,,2020-12-04,local-authority-eng:NFK,2019-12-03,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0467-LIBS
304579,Allocated,2013/0567_7.32b_ED,2013/0567_EDA,,2020-12-04,local-authority-eng:NFK,2019-04-29,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0567-EDA
304579,Received,2013/0567_7.32b_ED,2013/0567_EDR,,2020-12-04,local-authority-eng:NFK,2019-04-29,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0567-EDR
,Spent,2013/0567_7.32b_ED,2013/0567_EDSP,,2020-12-04,local-authority-eng:NFK,2020-03-09,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0567-EDSP
94327,Allocated,2013/0854_7.117_ED,2013/0854_EDA,,2020-12-04,local-authority-eng:NFK,2019-09-20,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-EDA
94327,Received,2013/0854_7.117_ED,2013/0854_EDR,,2020-12-04,local-authority-eng:NFK,2019-09-20,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-EDR
94327,Secured,2013/0854_7.117_ED,2013/0854_EDS,,2020-12-04,local-authority-eng:NFK,2019-08-30,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-EDS
,Spent,2013/0854_7.117_ED,2013/0854_EDSP,,2020-12-04,local-authority-eng:NFK,2019-09-20,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-EDSP
2709.47,Allocated,2013/0854_7.117_LIB,2013/0854_LIBA,,2020-12-04,local-authority-eng:NFK,2019-08-16,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-LIBA
2709.47,Received,2013/0854_7.117_LIB,2013/0854_LIBR,,2020-12-04,local-authority-eng:NFK,2019-08-16,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-LIBR
2709.47,Secured,2013/0854_7.117_LIB,2013/0854_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-02,,/developer-agreement-transaction/local-authority-eng/NFK/2013-0854-LIBS
363918,Allocated,2013/1647_7.125_ED,2013/1647_EDA,,2020-12-04,local-authority-eng:NFK,2019-04-05,,/developer-agreement-transaction/local-authority-eng/NFK/2013-1647-EDA
363918,Received,2013/1647_7.125_ED,2013/1647_EDR,,2020-12-04,local-authority-eng:NFK,2019-04-05,,/developer-agreement-transaction/local-authority-eng/NFK/2013-1647-EDR
15303.64,Allocated,2013/1647_7.125_LIB,2013/1647_LIBA,,2020-12-04,local-authority-eng:NFK,2019-12-17,,/developer-agreement-transaction/local-authority-eng/NFK/2013-1647-LIBA
15303.64,Received,2013/1647_7.125_LIB,2013/1647_LIBR,,2020-12-04,local-authority-eng:NFK,2019-12-17,,/developer-agreement-transaction/local-authority-eng/NFK/2013-1647-LIBR
1200,Allocated,20130680_5.46_MON,20130680_MONA,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/20130680-MONA
1200,Received,20130680_5.46_MON,20130680_MONR,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/20130680-MONR
,Spent,20130680_5.46_MON,20130680_MONSP,,2020-12-04,local-authority-eng:NFK,2020-03-02,,/developer-agreement-transaction/local-authority-eng/NFK/20130680-MONSP
135393,Allocated,2014/0620_3.135_ED,2014/0620_EDA,,2020-12-04,local-authority-eng:NFK,2020-03-23,,/developer-agreement-transaction/local-authority-eng/NFK/2014-0620-EDA
135393,Received,2014/0620_3.135_ED,2014/0620_EDR,,2020-12-04,local-authority-eng:NFK,2020-03-23,,/developer-agreement-transaction/local-authority-eng/NFK/2014-0620-EDR
135393,Secured,2014/0620_3.135_ED,2014/0620_EDS,,2020-12-04,local-authority-eng:NFK,2019-12-12,,/developer-agreement-transaction/local-authority-eng/NFK/2014-0620-EDS
117575.5,Allocated,2015/0219_3.96_ED,2015/0219_EDA,,2020-12-04,local-authority-eng:NFK,2019-12-04,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-EDA
117575.5,Received,2015/0219_3.96_ED,2015/0219_EDR,,2020-12-04,local-authority-eng:NFK,2019-12-04,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-EDR
117575.5,Secured,2015/0219_3.96_ED,2015/0219_EDS,,2020-12-04,local-authority-eng:NFK,2019-11-20,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-EDS
4970.21,Allocated,2015/0219_3.96_LIB,2015/0219_LIBA,,2020-12-04,local-authority-eng:NFK,2019-06-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-LIBA
4970.21,Received,2015/0219_3.96_LIB,2015/0219_LIBR,,2020-12-04,local-authority-eng:NFK,2019-06-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-LIBR
4970.21,Secured,2015/0219_3.96_LIB,2015/0219_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0219-LIBS
2112.54,Allocated,2015/0279/O_3.15_LIB,2015/0279/O_LIBA,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0279-O-LIBA
2112.54,Received,2015/0279/O_3.15_LIB,2015/0279/O_LIBR,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0279-O-LIBR
2112.54,Secured,2015/0279/O_3.15_LIB,2015/0279/O_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/2015-0279-O-LIBS
168783,Allocated,2015/1191_3.162_ED,2015/1191_EDA,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-EDA
168783,Received,2015/1191_3.162_ED,2015/1191_EDR,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-EDR
168783,Secured,2015/1191_3.162_ED,2015/1191_EDS,,2020-12-04,local-authority-eng:NFK,2019-08-30,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-EDS
7339.11,Allocated,2015/1191_3.162_LIB,2015/1191_LIBA,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-LIBA
7339.11,Received,2015/1191_3.162_LIB,2015/1191_LIBR,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-LIBR
7339.11,Secured,2015/1191_3.162_LIB,2015/1191_LIBS,,2020-12-04,local-authority-eng:NFK,2019-08-30,,/developer-agreement-transaction/local-authority-eng/NFK/2015-1191-LIBS
1403.3,Allocated,2017/1351/F_3.197_LIB,2017/1351/F_LIBA,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2017-1351-F-LIBA
1403.3,Received,2017/1351/F_3.197_LIB,2017/1351/F_LIBR,,2020-12-04,local-authority-eng:NFK,2019-10-07,,/developer-agreement-transaction/local-authority-eng/NFK/2017-1351-F-LIBR
1403.3,Secured,2017/1351/F_3.197_LIB,2017/1351/F_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/2017-1351-F-LIBS
3663.23,Allocated,3PL/2011/0398/CU_3.88_LIB,3PL/2011/0398/CU_LIBA,,2020-12-04,local-authority-eng:NFK,2020-01-03,,/developer-agreement-transaction/local-authority-eng/NFK/3PL-2011-0398-CU-LIBA
3663.23,Received,3PL/2011/0398/CU_3.88_LIB,3PL/2011/0398/CU_LIBR,,2020-12-04,local-authority-eng:NFK,2020-01-03,,/developer-agreement-transaction/local-authority-eng/NFK/3PL-2011-0398-CU-LIBR
3295.65,Allocated,PF/17/1951_1.90_LIB,PF/17/1951_LIBA,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/PF-17-1951-LIBA
3295.65,Received,PF/17/1951_1.90_LIB,PF/17/1951_LIBR,,2020-12-04,local-authority-eng:NFK,2019-07-23,,/developer-agreement-transaction/local-authority-eng/NFK/PF-17-1951-LIBR
3295.65,Secured,PF/17/1951_1.90_LIB,PF/17/1951_LIBS,,2020-12-04,local-authority-eng:NFK,2019-04-01,,/developer-agreement-transaction/local-authority-eng/NFK/PF-17-1951-LIBS
3696.88,Allocated,PF/18/1089_1.116_LIB,PF/18/1089_LIBA,,2020-12-04,local-authority-eng:NFK,2019-11-06,,/developer-agreement-transaction/local-authority-eng/NFK/PF-18-1089-LIBA
3696.88,Received,PF/18/1089_1.116_LIB,PF/18/1089_LIBR,,2020-12-04,local-authority-eng:NFK,2019-11-06,,/developer-agreement-transaction/local-authority-eng/NFK/PF-18-1089-LIBR
3696.88,Secured,PF/18/1089_1.116_LIB,PF/18/1089_LIBS,,2020-12-04,local-authority-eng:NFK,2019-06-01,,/developer-agreement-transaction/local-authority-eng/NFK/PF-18-1089-LIBS
366786,Allocated,PM/16/0253_1.76a_ED,PM/16/0253_EDA,,2020-12-04,local-authority-eng:NFK,2020-03-24,,/developer-agreement-transaction/local-authority-eng/NFK/PM-16-0253-EDA
